zip,name
21222,Dundalk
21117,Owings Mills
21228,Catonsville
21236,Nottingham
21237,Rosedale
21221,Essex
21234,Parkville
21220,Middle River
21227,Halethorpe
21286,East Towson/Loch Raven/Hampton
21244,Windsor Mill
21204,Downtown Towson/West Towson/Ruxton
21030,Cockeysville
21133,Randallstown
21093,Lutherville-Timonium
21207,Gwynn Oak
21136,Reisterstown
21208,Pikesville
21224,Southern Dundalk
21229,East Catonsville
21209,Pikesville/Falls Road corridor
21206,Overlea/Rosedale
21212,South Towson
