zip,name,2025_violent,2025_property,2025_all,2025_aggravated_assault,2025_murder_and_nonnegligent_manslaughter,2025_rape,2025_robbery,2025_all_larceny,2025_arson,2025_burglary_breaking_entering,2025_motor_vehicle_theft,2025_shoplifting,2025_theft_from_building,2025_theft_from_motor_vehicle,2025_theft_of_motor_vehicle_parts_or_accessories,2025_drug_equipment_violations,2025_drug_narcotics_violations,2025_human_trafficking_commercial_sex_acts,2025_prostitution,2025_purchasing_prostitution,2025_negligent_manslaughter,2024_violent,2024_property,2024_all,2024_aggravated_assault,2024_murder_and_nonnegligent_manslaughter,2024_rape,2024_robbery,2024_all_larceny,2024_arson,2024_burglary_breaking_entering,2024_motor_vehicle_theft,2024_shoplifting,2024_theft_from_building,2024_theft_from_motor_vehicle,2024_theft_of_motor_vehicle_parts_or_accessories,2024_drug_equipment_violations,2024_drug_narcotics_violations,2024_human_trafficking_commercial_sex_acts,2024_prostitution,2024_purchasing_prostitution,2024_negligent_manslaughter,violent_change,property_change,all_change,aggravated_assault_change,murder_and_nonnegligent_manslaughter_change,rape_change,robbery_change,all_larceny_change,arson_change,burglary_breaking_entering_change,motor_vehicle_theft_change,shoplifting_change,theft_from_building_change,theft_from_motor_vehicle_change,theft_of_motor_vehicle_parts_or_accessories_change,drug_equipment_violations_change,drug_narcotics_violations_change,human_trafficking_commercial_sex_acts_change,prostitution_change,purchasing_prostitution_change,negligent_manslaughter_change
21222,Dundalk,296,1440,1736,211,3,10,72,1103,6,128,203,546,101,179,83,61,134,0,0,0,0,315,1644,1959,226,0,6,83,1179,12,148,305,520,151,198,89,86,183,2,0,1,0,-6.0%,-12.4%,-11.4%,-6.6%,NA,66.7%,-13.3%,-6.4%,-50.0%,-13.5%,-33.4%,5.0%,-33.1%,-9.6%,-6.7%,-29.1%,-26.8%,-100.0%,NA,-100.0%,NA
21117,Owings Mills,139,1592,1731,99,2,3,35,1258,6,56,272,675,87,233,153,22,39,0,0,0,1,136,1799,1935,90,1,6,39,1324,9,98,368,706,99,263,133,18,28,1,0,0,0,2.2%,-11.5%,-10.5%,10.0%,100.0%,-50.0%,-10.3%,-5.0%,-33.3%,-42.9%,-26.1%,-4.4%,-12.1%,-11.4%,15.0%,22.2%,39.3%,-100.0%,NA,NA,NA
21228,Catonsville,120,1205,1325,82,1,6,31,935,6,98,166,548,63,146,94,9,29,0,1,0,0,116,1095,1211,66,1,8,41,811,4,105,175,355,81,171,68,11,35,0,2,0,0,3.4%,10.0%,9.4%,24.2%,0.0%,-25.0%,-24.4%,15.3%,50.0%,-6.7%,-5.1%,54.4%,-22.2%,-14.6%,38.2%,-18.2%,-17.1%,NA,-50.0%,NA,NA
21236,Nottingham,107,1173,1280,76,1,3,27,1009,4,69,91,697,75,74,46,17,44,2,3,2,1,117,1345,1462,55,1,7,54,1170,5,50,120,741,83,140,92,16,47,1,1,1,0,-8.5%,-12.8%,-12.4%,38.2%,0.0%,-57.1%,-50.0%,-13.8%,-20.0%,38.0%,-24.2%,-5.9%,-9.6%,-47.1%,-50.0%,6.2%,-6.4%,100.0%,200.0%,100.0%,NA
21237,Rosedale,135,1115,1250,100,0,2,33,940,0,78,97,613,66,89,64,46,76,0,1,0,0,131,1234,1365,94,0,10,27,959,7,75,193,584,63,134,53,34,79,0,3,0,0,3.1%,-9.6%,-8.4%,6.4%,NA,-80.0%,22.2%,-2.0%,-100.0%,4.0%,-49.7%,5.0%,4.8%,-33.6%,20.8%,35.3%,-3.8%,NA,-66.7%,NA,NA
21221,Essex,228,1017,1245,172,1,10,45,770,7,48,192,322,96,184,49,41,89,0,1,1,0,225,1042,1267,177,2,13,33,754,7,88,193,352,86,138,50,42,100,1,1,2,1,1.3%,-2.4%,-1.7%,-2.8%,-50.0%,-23.1%,36.4%,2.1%,0.0%,-45.5%,-0.5%,-8.5%,11.6%,33.3%,-2.0%,-2.4%,-11.0%,-100.0%,0.0%,-50.0%,-100.0%
21234,Parkville,188,1013,1201,140,2,5,41,755,1,72,185,270,80,211,40,28,71,0,2,2,0,172,1266,1438,121,2,6,43,914,14,68,270,319,97,311,52,18,49,0,0,0,0,9.3%,-20.0%,-16.5%,15.7%,0.0%,-16.7%,-4.7%,-17.4%,-92.9%,5.9%,-31.5%,-15.4%,-17.5%,-32.2%,-23.1%,55.6%,44.9%,NA,NA,NA,NA
21220,Middle River,159,966,1125,127,1,4,27,767,1,44,154,391,64,130,30,29,56,1,1,1,0,163,996,1159,118,4,6,35,747,3,74,172,352,69,160,48,23,66,0,0,0,0,-2.5%,-3.0%,-2.9%,7.6%,-75.0%,-33.3%,-22.9%,2.7%,-66.7%,-40.5%,-10.5%,11.1%,-7.2%,-18.8%,-37.5%,26.1%,-15.2%,NA,NA,NA,NA
21227,Halethorpe,113,906,1019,80,3,3,27,669,10,63,164,296,57,87,110,16,44,0,0,0,1,152,1165,1317,102,0,6,44,839,7,109,210,319,71,175,149,22,34,0,0,0,0,-25.7%,-22.2%,-22.6%,-21.6%,NA,-50.0%,-38.6%,-20.3%,42.9%,-42.2%,-21.9%,-7.2%,-19.7%,-50.3%,-26.2%,-27.3%,29.4%,NA,NA,NA,NA
21286,East Towson/Loch Raven/Hampton,81,923,1004,43,0,4,34,806,2,45,70,564,51,59,37,20,72,1,0,1,0,95,1080,1175,44,1,7,43,913,8,49,110,618,77,92,35,25,80,0,4,0,0,-14.7%,-14.5%,-14.6%,-2.3%,-100.0%,-42.9%,-20.9%,-11.7%,-75.0%,-8.2%,-36.4%,-8.7%,-33.8%,-35.9%,5.7%,-20.0%,-10.0%,NA,-100.0%,NA,NA
21244,Windsor Mill,161,771,932,111,0,4,46,516,5,63,187,179,46,116,57,9,35,1,5,0,0,156,876,1032,101,0,8,47,609,8,56,203,209,74,146,81,18,52,0,1,0,0,3.2%,-12.0%,-9.7%,9.9%,NA,-50.0%,-2.1%,-15.3%,-37.5%,12.5%,-7.9%,-14.4%,-37.8%,-20.5%,-29.6%,-50.0%,-32.7%,NA,400.0%,NA,NA
21204,Downtown Towson/West Towson/Ruxton,93,798,891,52,0,7,34,678,1,39,80,403,103,44,28,22,128,0,0,0,0,80,843,923,44,0,4,32,731,2,56,54,449,109,54,25,31,176,0,0,0,0,16.2%,-5.3%,-3.5%,18.2%,NA,75.0%,6.2%,-7.3%,-50.0%,-30.4%,48.1%,-10.2%,-5.5%,-18.5%,12.0%,-29.0%,-27.3%,NA,NA,NA,NA
21030,Cockeysville,43,839,882,36,0,1,6,746,1,36,56,533,50,49,38,8,19,0,1,0,0,52,868,920,35,1,3,13,759,3,48,58,512,66,88,40,13,27,0,2,0,0,-17.3%,-3.3%,-4.1%,2.9%,-100.0%,-66.7%,-53.8%,-1.7%,-66.7%,-25.0%,-3.4%,4.1%,-24.2%,-44.3%,-5.0%,-38.5%,-29.6%,NA,-50.0%,NA,NA
21133,Randallstown,104,743,847,78,1,0,25,594,3,46,100,311,56,95,48,3,17,1,1,1,0,99,708,807,68,0,5,26,476,2,67,163,234,50,83,43,3,22,0,0,0,0,5.1%,4.9%,5.0%,14.7%,NA,-100.0%,-3.8%,24.8%,50.0%,-31.3%,-38.7%,32.9%,12.0%,14.5%,11.6%,0.0%,-22.7%,NA,NA,NA,NA
21093,Lutherville-Timonium,28,764,792,16,2,0,10,674,0,48,42,454,30,90,34,10,19,0,1,0,0,38,662,700,27,0,3,8,576,2,44,40,327,69,88,37,4,10,0,1,0,0,-26.3%,15.4%,13.1%,-40.7%,NA,-100.0%,25.0%,17.0%,-100.0%,9.1%,5.0%,38.8%,-56.5%,2.3%,-8.1%,150.0%,90.0%,NA,0.0%,NA,NA
21207,Gwynn Oak,169,583,752,115,4,8,42,372,1,43,167,97,52,86,53,11,42,0,8,0,1,157,691,848,96,1,7,53,447,7,43,194,99,71,114,72,12,56,2,2,0,0,7.6%,-15.6%,-11.3%,19.8%,300.0%,14.3%,-20.8%,-16.8%,-85.7%,0.0%,-13.9%,-2.0%,-26.8%,-24.6%,-26.4%,-8.3%,-25.0%,-100.0%,300.0%,NA,NA
21136,Reisterstown,60,531,591,47,0,3,10,425,1,28,77,123,33,135,46,2,36,0,0,0,0,76,575,651,54,1,4,17,423,7,42,103,157,44,114,45,10,51,0,0,0,0,-21.1%,-7.7%,-9.2%,-13.0%,-100.0%,-25.0%,-41.2%,0.5%,-85.7%,-33.3%,-25.2%,-21.7%,-25.0%,18.4%,2.2%,-80.0%,-29.4%,NA,NA,NA,NA
21208,Pikesville,75,491,566,52,0,2,21,393,1,33,64,177,42,92,37,8,17,0,1,1,0,67,549,616,40,1,3,23,426,2,48,73,183,60,73,38,6,20,0,1,0,0,11.9%,-10.6%,-8.1%,30.0%,-100.0%,-33.3%,-8.7%,-7.7%,-50.0%,-31.2%,-12.3%,-3.3%,-30.0%,26.0%,-2.6%,33.3%,-15.0%,NA,0.0%,NA,NA
21224,Southern Dundalk,30,447,477,19,0,2,9,353,1,31,62,187,21,67,46,18,42,0,1,0,0,62,394,456,36,1,1,24,312,4,25,53,193,17,46,22,7,64,1,0,1,0,-51.6%,13.5%,4.6%,-47.2%,-100.0%,100.0%,-62.5%,13.1%,-75.0%,24.0%,17.0%,-3.1%,23.5%,45.7%,109.1%,157.1%,-34.4%,-100.0%,NA,-100.0%,NA
21229,East Catonsville,34,322,356,21,1,0,12,236,2,33,51,147,10,35,22,4,5,0,0,0,0,52,312,364,30,0,0,22,212,1,20,79,101,34,30,29,5,4,0,0,0,0,-34.6%,3.2%,-2.2%,-30.0%,NA,NA,-45.5%,11.3%,100.0%,65.0%,-35.4%,45.5%,-70.6%,16.7%,-24.1%,-20.0%,25.0%,NA,NA,NA,NA
